"Organisation ID","Organisation name",Website,"Short description","Long description",Country,Region,Latitude,Longitude,Address,"Organisation type","Organisation size","Start date","Linked project IDs",Tags,"Network tags",Created
724,"Digital Shoreditch",,,,"United Kingdom",London,51.5073219,-0.1276473,"42 - 46 Princelet St,
E1 5LP","Social enterprise, charity, foundation or other non-profit",,,,,,1970-01-01
1150,"Digital World Research Centre, University of Surrey",,,,"United Kingdom",Guildford,51.237195,-0.5811778,"School of Arts,
GU2 7XH","Academia/Research organisation","11-25 people",,296,,,1970-01-01
859,"Digitale Helden gemeinnutzige GmbH",,,,Germany,Frankfurt,50.110653,8.682093,"Ostbahnhofstr. 15,
60314","Social enterprise, charity, foundation or other non-profit","0-5 people",,528,,,1970-01-01
304,"Dimeco Media Services CIC",,,,"United Kingdom","Jamaica Road",51.49889,-0.0560997,"103 Pynfolds Estate,
SE16 4NU","Social enterprise, charity, foundation or other non-profit","0-5 people",,385,,,1970-01-01
284,DiploHack,,,,"United Kingdom",London,51.5073219,-0.1276473,"38 Hyde Park Gate,
SW7 5DP","Government/Public Sector","0-5 people",,334,,,1970-01-01
87,"Diputacio de Barcelona",,,,Spain,Barcelona,41.3825596,2.1771353,"Comte Urgell,
8036","Government/Public Sector",,,,,,1970-01-01
216,DisciplineXgames,,,,"United Kingdom",London,51.5073219,-0.1276473,"9 Ashleigh Road,
SW14 8PY","Social enterprise, charity, foundation or other non-profit","0-5 people",,44,,,1970-01-01
386,"Diseno Social",,,,Spain,Malaga,36.721086,-4.4220023,"CALLE PERDICES, N12,
29190","Social enterprise, charity, foundation or other non-profit","0-5 people",,265,,,1970-01-01
183,"DISI - University of Trento",,,,Italy,Trento,46.0664228,11.1257601,"Via Sommarive 9, Povo,
I-38123","Academia/Research organisation","101-500 people",,774,,,1970-01-01
837,DIVAcontemporary,,,,"United Kingdom",Bridport,50.733785,-2.7589004,"1 King Square,
DT6 3QE","Grassroots organisation or community network","0-5 people",,151,,,1970-01-01
1030,Djump,,,,France,Paris,48.8566101,2.3514992,"12 rue riquet,
75019","For-profit business","6-10 people",,223,,,1970-01-01
853,DNADigest,,,,"United Kingdom",Cambridge,52.2033051,0.124862,"Station Road,
CB22 5NE","Social enterprise, charity, foundation or other non-profit","6-10 people",,518,,,1970-01-01
156,DonorSearch,,,,"Russian Federation",Kazan,55.7604193,49.1902945,"New Tatarstan, 14,
420025","Social enterprise, charity, foundation or other non-profit","0-5 people",,432,,,1970-01-01
889,Dotopen,,,,Spain,Barcelona,41.3825596,2.1771353,"Zamora 46,
8005","For-profit business","6-10 people",,585,,,1970-01-01
21,Downstreams,,,,"United Kingdom",Chesterfield,53.2352134,-1.4264096,"109 Ashgate Road,
S40 4AH","Social enterprise, charity, foundation or other non-profit","0-5 people",,246,,,1970-01-01
1069,Draft,,,,France,Paris,48.8566101,2.3514992,"12 esplanade nathalie sarraute,
75018","For-profit business","0-5 people",,732,,,1970-01-01
694,DrDoctor,,,,"United Kingdom",London,51.5073219,-0.1276473,"16 Hoxton Square,
N16NT","For-profit business","0-5 people",,274,,,1970-01-01
1045,"Drop In Eures",,,,Belgium,Brussels,50.8465565,4.351697,"Joseph II 27,
B-1050","Government/Public Sector","6-10 people",,515,,,1970-01-01
601,Dyne.org,,,,Netherlands,Amsterdam,52.3745403,4.8979755,"Haparandadam 7-A1,
1013AK","Grassroots organisation or community network","6-10 people",,"309, 525",,,1970-01-01
678,"e - PRO group a. s.",,,,Slovakia,Kosice,48.7172272,21.2496774,"Tomasikova 35,
4023","For-profit business","0-5 people",,730,,,1970-01-01
223,"e DESIS Lab",,,,Netherlands,Eindhoven,51.448557,5.4501225,"Den Dolech 2,
5612AZ","Academia/Research organisation","51-100 people",,"291, 850",,,1970-01-01
764,"e-Government Center of Moldova",,,,"Moldova, Republic of",Chisinau,47.0122737,28.8605936,"1, Piata Marii Adunari Nationale street,
",,,,651,,,1970-01-01
1001,E-Institute,,,,Slovenia,Ptuj,46.4197508,15.871799,"Cuckova 5,
2250","For-profit business","6-10 people",,542,,,1970-01-01
312,"EAI - European Alliance for Innovation",,,,Belgium,gent,51.0538286,3.7250121,"Begijnhoflaan 93a,
9000","Grassroots organisation or community network","51-100 people",,35,,,1970-01-01
801,"Earth Intelligence Network (501c3)",,,,"United States",Oakton,38.881385,-77.3006468,"11005 Langton Arms Court,
22124","Social enterprise, charity, foundation or other non-profit","0-5 people",,572,,,1970-01-01
1110,"East Cleveland Online",,,,"United Kingdom",Brotton,54.5689495,-0.9364968,"Linden Road,
TS12 2SJ","Social enterprise, charity, foundation or other non-profit","0-5 people",,289,,,1970-01-01
100,Eaupen,,,,France,Paris,48.8566101,2.3514992,"O Gobilab 136, rue d'Aboukir,
75002","Grassroots organisation or community network","0-5 people",,72,,,1970-01-01
290,Echo,,,,"United Kingdom",London,51.5073219,-0.1276473,"1 Stratford Place,
e201ej","Social enterprise, charity, foundation or other non-profit","0-5 people",,,,,1970-01-01
230,Ecobytes,,,,,,,,",
",,,,,,,1970-01-01
401,ecomumy,,,,"United Kingdom",Wimbledon,51.4253863,-0.2174491,"36 Daybrook road,
SW19 3DH","For-profit business","0-5 people",,169,,,1970-01-01
749,econcept,,,,,,,,"Alteburger Str. 32,
50678","Academia/Research organisation","0-5 people",,582,,,1970-01-01
716,ecosense,,,,,,,,",
",,,,,,,1970-01-01
240,"Ecosia GmbH",,,,Germany,Berlin,52.5170365,13.3888599,"4,
10827","For-profit business","11-25 people",,55,,,1970-01-01
1088,ecotastic,,,,Germany,Berlin,52.5170365,13.3888599,"Kurfurstenstrae 141,
10785","For-profit business","0-5 people",,222,,,1970-01-01
127,ECrowd!,,,,Spain,Barcelona,41.3825596,2.1771353,"Carrer de Llacuna 162,
8018","For-profit business","0-5 people",,631,,,1970-01-01
1020,"eCTRL Solutions",,,,,,,,",
",,,,,,,1970-01-01
58,"Edelman Brussels",,,,Belgium,Brussels,50.8465565,4.351697,"28 Av. Marnixlaan,
1000","Government/Public Sector","26-50 people",,27,,,1970-01-01
385,Edenway,,,,Spain,Paris,43.2143493,-2.5659872,"144 rue Lecourbe,
75015","For-profit business","0-5 people",,377,,,1970-01-01
1058,Edgeryders,,,,"United Kingdom",Coventry,52.4081812,-1.5104769,"The Apex 2 Sheriffs Orchard,
CV1 3PP","Social enterprise, charity, foundation or other non-profit","0-5 people",,829,,,1970-01-01
1035,"EDP SCIENCES",,,,France,"LES ULIS",48.6805587,2.1690093,"17 AV DU HOGGAR,
91940","For-profit business","51-100 people",,576,,,1970-01-01
1031,"Eigg Box",,,,"United Kingdom","Isle of Eigg",56.8772204,-6.1306721,"Galmisdale,
PH42 4RL","Social enterprise, charity, foundation or other non-profit","0-5 people",,555,,,1970-01-01
939,ekovizija,,,,"Bosnia and Herzegovina",Tuzla,44.5391105,18.675193,"Veljka Lukica Kurjaka do broja 11,
75000","Grassroots organisation or community network","0-5 people",,109,,,1970-01-01
199,"El Teb",,,,Spain,Barcelona,41.3825596,2.1771353," dels Salvador, 6 Baixos,
8001","Social enterprise, charity, foundation or other non-profit","11-25 people",,161,,,1970-01-01
989,eLabEurope,,,,France,Jouy-en-Josas,48.7674622,2.1678072,"1, rue de la Liberation,
78350","Academia/Research organisation","0-5 people",,490,,,1970-01-01
720,"Electronics and Telecommunications Research Institute",,,,"Korea, Republic of",Daejeon,36.3326329,127.3845762,"Gajeong-ro 218,
305-700","Government/Public Sector","over-1000 people",,,,,1970-01-01
95,"Elva Community Engagement",,,,Georgia,Tbilisi,41.6935247,44.8015019,"27 Tarknishvili Street,
179","Social enterprise, charity, foundation or other non-profit","6-10 people",,369,,,1970-01-01
721,Empirica,,,,Germany,Bonn,50.735851,7.10066,"Oxfordstr. 2,
53111",,,,158,,,1970-01-01
568,"empirica Gesellschaft fur Kommunikations- und Technologieforschung mbH",,,,Germany,Bonn,50.735851,7.10066,"Oxfordstr 2,
53111","For-profit business","26-50 people",,,,,1970-01-01
1251,EmpowerHack,http://empowerhack.io/,"EmpowerHack is a global volunteer design and technology collective focused on creating sustainable humanitarian technology for women and girls.",,"United Kingdom",London,51.5073219,-0.1276473,,"Social enterprise, charity, foundation or other non-profit","0-5 people",2015-11-25,,"humanitarian design, Innovation, refugees, women and children",,2017-02-16
400,"En+: Comunicacion y Diseno Social para ONGs",,,,Spain,Malaga,36.721086,-4.4220023,"Perdices 12 bajo 1,
29190","Social enterprise, charity, foundation or other non-profit","0-5 people",,262,,,1970-01-01
818,"Engineering Ingegneria Informatica S.p.A.",,,,Italy,Palermo,38.11127,13.3534422,"via della Regione Siciliana Nord Ovest,
90146","For-profit business","over-1000 people",,,,,1970-01-01
64,"ENoLL - European Network of Living Labs",,,,Belgium,Brussels,50.8465565,4.351697,"9 Pleinlaan,
1050","Grassroots organisation or community network","0-5 people",,"421, 810",,,1970-01-01
1073,"eNovation4D Ltd",,,,"United Kingdom",Canterbury,51.2800275,1.0802533,"19 Scott Avenue,
CT1 3RU","For-profit business","0-5 people",,,,,1970-01-01
796,ENREDA,,,,Spain,Seville,37.3886303,-5.995317,"Avd. Republica Argentina 25,
41010","For-profit business","0-5 people",,279,,,1970-01-01
863,ENSAV,,,,France,Versailles,48.8035403,2.1266886,"5 avenue de Sceaux,
78000","Academia/Research organisation","0-5 people",,201,,,1970-01-01
231,"Envolve BV",,,,Netherlands,Zeist,52.0865318,5.249008,"Graaf Janlaan 63,
3708GK","For-profit business","0-5 people",,436,,,1970-01-01
734,"ePF Foundation",,,,Poland,Warsaw,52.2319237,21.0067265,"39,
00-511","Grassroots organisation or community network","6-10 people",,"24, 787",,,1970-01-01
643,"Equipo Cafeina",,,,Spain,"Sant Joan Despi",41.3667951,2.0570346,"Carrer Transversal, 9,
8970",,,,53,,,1970-01-01
363,ERASME,,,,,,,,",
",,,,,,,1970-01-01
688,eReuse,,,,Spain,Barcelona,41.3825596,2.1771353,"Eusebi Guell, 7,
8034","Grassroots organisation or community network","0-5 people",,471,,,1970-01-01
868,ERGOLAB,,,,Spain,"San Sebastian",43.3224219,-1.9838888,"Portuetxe Bidea n 14,
20018","Grassroots organisation or community network","6-10 people",,266,,,1970-01-01
732,Ergonomics,,,,France,Marseille,43.2961743,5.3699525,"93, La Canebiere, boite 309,
13001","Academia/Research organisation","6-10 people",,,,,1970-01-01
1026,Esade,,,,Spain,Barcelona,41.3825596,2.1771353,"Av Pedralbes 60,
8034","Academia/Research organisation",,,"369, 472, 585",,,1970-01-01
1225,"ESCP Europe",http://www.escpeurope.eu/,,,,,,,,"Academia/Research organisation",,,807,,,2017-01-09
1161,"ESKILARA, S.KOOP.TXIKIA",,,,Spain,Zamudio,43.2827605,-2.8623644,"Parque Tecnologico Bizkaia, Edificio 103 - 2,
48170","Social enterprise, charity, foundation or other non-profit","0-5 people",,420,,,1970-01-01
26,"Espace Art Sadika",,,,Tunisia,"La Marsa",36.9009882,10.3009531,"zone touristique de gammarth,
2076","Academia/Research organisation","6-10 people",,,,,1970-01-01
488,ESSRG,,,,Hungary,Budapest,47.4983815,19.0404707,"Romer Floris 38,
1024","Academia/Research organisation","6-10 people",,701,,,1970-01-01
575,"ESSRG Ltd.",,,,Hungary,Budapest,47.4983815,19.0404707,"ROMER FlORIS,
",,,,,,,1970-01-01
874,"Esya Kutuphanesi",,,,Turkey,Istanbul,41.0096334,28.9651646,"Eski Buyukdere Cad. 61,
","Grassroots organisation or community network","0-5 people",,,,,1970-01-01
782,"ethicalBay Limited",,,,"United Kingdom",KEIGHLEY,53.8684021,-1.9020455,"Alice Street,
BD21 3JD","Social enterprise, charity, foundation or other non-profit","6-10 people",,115,,,1970-01-01
89,eu4c,,,,France,Paris,48.8566101,2.3514992,"22 rue de la chapelle,
75018",,,,606,,,1970-01-01
793,"Euan's Guide",,,,"United Kingdom",Edinburgh,55.9495628,-3.1914971,"10 Constitution Street,
EH6 7BT","Grassroots organisation or community network","6-10 people",,256,,,1970-01-01
763,"Euclid Network",,,,"United Kingdom",London,51.5073219,-0.1276473,"8 All Saints Street,
N1 9RL","Grassroots organisation or community network","6-10 people",,,,,1970-01-01
1262,Eurecat,http://www.eurecat.org/en,"Eurecat is the Technology Centre of Catalonia. Provides the industrial and business sector with differential technology and advanced expertise.","<p style=""margin-top: 0pt; margin-bottom: 6pt; font-family: Calibri;""><span lang=""en-GB"" style=""font-size: 11.0pt;"">Fundaci&oacute; Eurecat (Eurecat) is the major Technology Centre of Catalonia and the result of the integration of the most important Catalan technology centers: Ascamm, Barcelona Media, BDigital and Cetemmsa, CTM, CTNS, and </span><span lang=""es"" style=""font-size: 11.0pt;"">Fundaci&oacute; Maqcentre, as well as the recent partnership with LEITAT</span><span lang=""en-GB"" style=""font-size: 11.0pt;"">. </span><span lang=""en-GB"" style=""font-weight: bold; font-size: 10.5pt; color: #555555; background: white;"">Eurecat&nbsp;is a private non-profit research center that&nbsp;manages a turnover of 38M&euro; and 450 professionals.</span><span lang=""es"" style=""font-size: 10.5pt; color: #555555; background: white;"">&nbsp;</span><span lang=""en-GB"" style=""font-size: 10.5pt; color: #555555; background: white;"">It&nbsp;has a customer portfolio of over 1.000 companies.</span></p>
<p style=""margin-top: 0pt; margin-bottom: 7pt; font-family: Calibri; font-size: 10.5pt; color: #555555;""><span lang=""en-GB"" style=""background: white;"">EURECAT has currently more than 150 R&amp;D projects running. Among the international projects,</span><span lang=""es"" style=""background: white;"">&nbsp;</span><span lang=""es"" style=""font-weight: bold; background: white;"">67 major projects are in the 7th Framework Programme and Horizon 2020</span><span lang=""en-GB"" style=""background: white;"">, 28 of which are coordinated by Eurecat.&nbsp;In addition to this wide experience at European level, Eurecat is also a strong player in the various R&amp;D programmes sponsored by the Spanish and Catalan administrations, with more than 160 ongoing projects. Technology transfer is also an essential activity in Eurecat, with 36 international patents and 9 technology-based companies (eight in Spain and one in Latin America) started-up from the centre.</span></p>
<p style=""margin-top: 0pt; margin-bottom: 7pt; font-family: Calibri; font-size: 10.5pt; color: #555555;""><span style=""background: white;"">Eurecat R&amp;D, innovation and training activities span from Industrial Technologies (metallic, plastic and composite materials, manufacturing processes, autonomous and professional robotics, functional printing and fabrics, simulations and sustainability) to Digital Technologies (Digital Humanities, Big Data Analytics, IT Security and Smart Management Systems, e-health, data mining and multimedia technologies).</span></p>
<p style=""margin-top: 0pt; margin-bottom: 7pt; font-family: Calibri; font-size: 10.5pt; color: #555555;"">&nbsp;</p>
<p style=""margin-top: 0pt; margin-bottom: 7pt; font-family: Calibri; font-size: 10.5pt; color: #555555;"">&nbsp;</p>",Spain,Barcelona,41.3825596,2.1771353,,"Academia/Research organisation","501-1000 people",1995-01-01,"525, 848","cybersecurity, data visualisation, Digital Social Innovation, Innovation, open knowledge, privacy, user engagement",,2017-02-27
381,EURICCA,,,,Greece,Athens,37.9841493,23.7279843,"Nikosthenous,
11635",,,,,,,1970-01-01
244,"Europa Nova Social R&D",,,,Hungary,Vallus,46.8432453,17.302366,"Rakoczi ut 58,
8316","Academia/Research organisation","6-10 people",,132,,,1970-01-01
854,"Europe for change",,,,France,Paris,48.8566101,2.3514992,"22 rue de la chapelle,
75018","Grassroots organisation or community network","0-5 people",,,,,1970-01-01
677,"European Alternatives",,,,Germany,Berlin,52.5170365,13.3888599,"Kottbusser Damm 73,
10967","Grassroots organisation or community network","6-10 people",,217,,,1970-01-01
1109,"European Centre for Women and Technology - ECWT",,,,Norway,Drammen,59.7284584,10.1778206,"Grnland 58,
3057","Social enterprise, charity, foundation or other non-profit","11-25 people",,605,,,1970-01-01
465,"European Crowdfunding Network",,,,,,,,",
",,,,,,,1970-01-01
772,"European Housing Network",,,,Belgium,Brussels,50.8465565,4.351697,"square de meeus 18,
1050","Grassroots organisation or community network","0-5 people",,440,,,1970-01-01
1004,"European Institute for Participatory Media",,,,Germany,Berlin,52.5170365,13.3888599,"Pariser Platz 6,
10117","Academia/Research organisation","11-25 people",,"369, 394",,,1970-01-01
862,"European Schoolnet",,,,Belgium,Brussels,50.8465565,4.351697,"Rue de Treves 61,
1040","Government/Public Sector","51-100 people",,,,,1970-01-01
449,"European University Institute",,,,Italy,"San Domenico di Fiesole",43.8014163,11.285989,"Via dei Roccettini 9,
50014","Academia/Research organisation","over-1000 people",,552,,,1970-01-01
567,"Eventor HUB",,,,Kosovo,Prizren,42.2109946,20.7452728,"Ismet Jashari - Kumanova 102,
20000","Grassroots organisation or community network","0-5 people",,50,,,1970-01-01
982,EveryOne.,,,,Luxembourg,"Esch sur Alzette",49.501145,5.979753,"9 avenue des hauts fourneaux,
4362","For-profit business","0-5 people",,77,,,1970-01-01
702,EZ-START,,,,Spain,Barcelona,41.3825596,2.1771353,"Benet Mateu,
8034","For-profit business","0-5 people",,682,,,1970-01-01
318,"Fab Lab Athens",,,,Greece,Athens,37.9841493,23.7279843,"28is Oktovriou 42,
, Athina 106 82",,,,,,"FabLab Network",1970-01-01
1105,"Fab Lab Barcelona",,,,Spain,Barcelona,41.3825596,2.1771353,"Pujades 102,
8005","Social enterprise, charity, foundation or other non-profit","6-10 people",,"598, 745",,"FabLab Network",1970-01-01
217,"Fab Lab Cascina",,,,Italy,Cascina,43.6766738,10.5492244,"Via M. Giuntini 25 int.28,
56021","Grassroots organisation or community network","0-5 people",,257,,"FabLab Network",1970-01-01
856,"Fab Lab CEU",,,,Spain,Madrid,40.4167047,-3.7035824,"Escuela Politecnica Superior Universidad CEU, Campus de Monteprincipe,
28668","Academia/Research organisation","11-25 people",,,,"FabLab Network",1970-01-01
679,"Fab Lab La Casemate",,,,France,Grenoble,45.182151,5.7274722,"1 Place Saint Laurent,
38000","Government/Public Sector","0-5 people",,,,"FabLab Network",1970-01-01
430,"Fab Lab Limerick",,,,Ireland,Limerick,52.661252,-8.6301238,"7 Rutland street,
","Academia/Research organisation","0-5 people",,610,,"FabLab Network",1970-01-01
841,"Fab Lab London",,,,"United Kingdom",London,51.5073219,-0.1276473,"1 Frederick's Place,
EC2R 8AE","Social enterprise, charity, foundation or other non-profit","0-5 people",,728,,"FabLab Network",1970-01-01
473,"Fab Lab Nurnberg",,,,Germany,Nurnberg,49.4538723,11.0772978,"Muggenhoferstrae 141,
90429",,,,,,"FabLab Network",1970-01-01
565,"Fab Lab Reggio Emilia",,,,Italy,"Reggio Emilia",44.6978446,10.6304958,"o Musei Civici,
42121","Government/Public Sector","0-5 people",,,,"FabLab Network",1970-01-01
785,"Fab Lab Spinderihallerne",,,,Denmark,Vejle,55.7000057,9.5333238,"Spinderigade 11E,
7100","Government/Public Sector","0-5 people",,632,,"FabLab Network",1970-01-01
949,"Fablab Amsterdam",,,,,,,,",
",,,,,,"FabLab Network",1970-01-01
533,"FabLab Cardiff",,,,"United Kingdom",Cardiff,51.4816546,-3.1791933,"200 Western Avenue,
CF5 2YB","Academia/Research organisation","0-5 people",,457,,"FabLab Network",1970-01-01
113,"Fablab Catania",,,,Italy,Catania,37.5021788,15.0872574,"Via Cifali 22,
95123",,,,,,"FabLab Network",1970-01-01
1188,"Fablab Catania",http://www.fablabcatania.eu,"Alfab is a registered innovative startup created in February 2014. The company hosts the Fablab Catania. The triggering idea was to combine production, innovation, research and social network by sharing professional expertizes and advanced technological resources and tools. The company was created using an European funding, received by Invitalia.  
Product designers, 3D designers, electronic engineers, physics, graphic designers and illustrators compose Alfab team.  
Customer satisfaction is a key value for Fablab Catania. The company is continuously seeking for quality improvement of products and services offered so to strength its market footprint and increase market opportunities for its customers.   
Fablab Catania has a number of active agreements with high schools, cooperates with Architecture Department in University of Catania. Fablab Catania holds 2 patents registered in 2014 e 2015.",,Italy,Catania,37.5021788,15.0872574,,"Social enterprise, charity, foundation or other non-profit","6-10 people",2014-01-01,,"3dprint, another tag, coding, digital design, digital fabrication, digital services, DIY networking, e-culture, education, fablab, makers, social innovation, Thinktank","FabLab Network",1970-01-01
131,"FabLab Danmark",,,,Denmark,Naestved,55.2328252,11.7674102,"Maglemlle 31,
4700","Government/Public Sector","0-5 people",,722,,"FabLab Network",1970-01-01
726,"FabLab Fribourg-Freiburg",,,,Switzerland,Fribourg,46.8033192,7.1617555,"Passage du Cardinal 1,
1700","Grassroots organisation or community network","0-5 people",,,,"FabLab Network",1970-01-01
1137,"FabLab Genk",,,,Belgium,Genk,50.9654864,5.5001456,"Houtparklaan 1,
3600","Grassroots organisation or community network","0-5 people",,524,,"FabLab Network",1970-01-01
725,"FabLab Innovation",,,,Denmark,Odense,55.3997225,10.3852104,"Sverigesgade 5,
5200","Academia/Research organisation","6-10 people",,,,"FabLab Network",1970-01-01
203,"FabLab Luxembourg | Technoport",,,,Luxembourg,Esch-sur-Alzette,49.501145,5.979753,"9, Avenue des Hauts-Fourneaux,
L-4362","For-profit business","0-5 people",,375,,"FabLab Network",1970-01-01
480,"FabLab Madrid Medialab-Prado",,,,Spain,Madrid,40.4167047,-3.7035824,"Calle de la Alameda 15,
28014",,,,,,"FabLab Network",1970-01-01
519,"FabLab Munchen e.V.",,,,Germany,Munchen,48.1371079,11.5753822,"Gollierstrae 70,
80339","Grassroots organisation or community network","0-5 people",,,,"FabLab Network",1970-01-01
180,"FabLab Neuchatel",,,,Switzerland,Neuchatel,46.9895828,6.9292641,"Place de la gare 4,
2002","Academia/Research organisation","0-5 people",,,,"FabLab Network",1970-01-01
1134,"Fablab Palermo",,,,Italy,Palermo,38.11127,13.3534422,"Via Mariano Stabile, 52,
90100","Grassroots organisation or community network","0-5 people",,192,,"FabLab Network",1970-01-01
1184,"fablab palermo",,,,,,,,,,,,,,"FabLab Network",1970-01-01
1185,"FabLab Palermo",http://www.fablabpalermo.org,"Palermo Makers  Community: Think it, Make It!
FabLab Palermo is an innovation hub that works to connect makers and entrepreneurship, in order to go from the idea to the real product, following the peer to peer design and the open source philosophy sharing knowledge, methods and principles with the world makers community.FabLab Palermo was founded in 2013 by a group of architects, designers, creative people based in Palermo city. It’s a nonprofit organization (APS) and the first Fablab in Sicily. It works on the regional territory with a lot of contacts and networks of makers and innovators. This “open mind” and the different kind of people working with Fablab  Palermo enlarge areas of project and activity. 
FabLab Palermo work with: social innovators, experts of digital technologies, digital artisans, public and private bodies, university, schools, professionals, civic communities.","<p><strong>Background and Experience</strong>&nbsp;</p>
<p><strong>FabLab Palermo</strong> is an <strong>innovation hub</strong> that works to connect makers and entrepreneurship, in order to go from the idea to the real product, following the peer to peer design and the open source philosophy <strong>sharing knowledge, methods and principles with the world makers community.</strong></p>
<p>&nbsp;A fablab is a <strong>fabrication laboratory</strong>, a <strong>technical prototyping platform</strong> <strong>for innovation and invention</strong>, providing stimulus for local entrepreneurship. A fablab is also a platform for learning and innovation: <strong>a place to play, to create, to learn, to mentor, to invent. </strong></p>
<p><strong>&nbsp;</strong>A fablab is generally comprised of <strong>off-the-shelf, industrial-grade fabrication and electronics tools, wrapped in open source software and programs</strong> written by researchers at MIT&rsquo;s Center for Bits &amp; Atoms. Currently Fablabs include a laser cutter that makes 2D and 3D structures, a sign cutter that plots in copper to make antennas and flex circuits, a high-resolution NC milling machine that makes circuit boards and precision parts, a large wood router for building furniture and housing, and a suite of electronic components and programming tools for low-cost, high-speed microcontrollers for on-site rapid circuit prototyping.</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p><strong>&nbsp;</strong></p>
<p><strong>Context</strong></p>
<p>FabLab Palermo <strong>was founded in 2013</strong> by a group of architects, designers, creative people based in <strong>Palermo city</strong>. It&rsquo;s a nonprofit organization (APS) and<strong> the first Fablab in Sicily</strong>. It works on the regional territory with a lot of contacts and networks of makers and innovators. This &ldquo;open mind&rdquo; and the different kind of people working with Fablab&nbsp; Palermo enlarge <strong>areas of project and activity.</strong></p>
<p>FabLab Palermo work with: <strong>social innovators, experts of digital technologies, digital artisans, public and private bodies, university, schools, professionals, civic communities</strong>.</p>
<p>&nbsp;</p>
<p><strong>Areas of specific expertise and work </strong></p>
<p><strong><em>Educator </em></strong></p>
<p>According to Fab Charter, Fablab Palermo works to <strong>promote and spread the makers&rsquo; culture</strong>, carrying out classes and workshops, also in partnership with schools, universities and institutions.&nbsp;</p>
<p><strong><em>Incubator </em></strong></p>
<p>Fablab Palermo works as an <strong>incubator to go from the idea to the real product</strong> or the enterprise, by using the network of contacts and professional resources of fablabs all over the world.</p>
<p>&nbsp;</p>
<p><strong><em>Enabler </em></strong></p>
<p>Fablab Palermo also <strong>provides services to enterprises, professionals and common people</strong>, including design, 3D printing, projects and prototypes development and 3D printers maintenance.</p>
<p>&nbsp;</p>
<p><strong>Main areas of work</strong>: Architecture, Digital Design, Digital Handmade, Robotic, Electronic, Education.</p>
<p>Thanks to a wide network of technical knowledge, Fablab Palermo provides several digital services: CNC milling, Laser Cutting, Engraving, Advertising Graphics, 2D and 3D modelling, rapid prototyping and 3D Printing, Vinyl Cutting, Drone Aerial Shots, 3D scanning and Rendering, Software Developing.</p>
<p>&nbsp;</p>
<p><strong>Activities and experience of the partner organization</strong> &nbsp;</p>
<p>First of all, <strong>Fablab Palermo</strong> works to promote and spread the <strong>makers&rsquo; culture</strong>. It offers professional development <strong>workshops and events</strong> for both experienced maker educators and those just getting started. These events provide an <strong>opportunity</strong> for educators <strong>to convene, connect, and learn</strong> from our offerings and from each other.</p>
<p>&nbsp;It includes <strong>a wide variety of information</strong>, meant to provide educators and facilitators with ideas for short-term activities as well as open-ended long-term projects, curriculum samples, examples of facilitation methods and practices, and the pedagogies and values aligned with making.</p>
<p>&nbsp;</p>
<p><strong>Workshops or educational projects</strong> have been created by FabLab Palermo according to schools, universities, private bodies.</p>
<p><strong>&nbsp;</strong><strong>FabLab Palermo is a partner of some Italian organizations </strong>working with young people <strong>in education projects</strong>, <strong>training and job</strong>. In these partnership FabLab Palermo was the temporary host for young European people engaged in education&nbsp;and training projects. Students and graduates were engaged, by the tutoring of Fablab Palermo, in activities and projects concerning: 3D Print modeling and prototyping, graphic, digital handmade. This one is the most important FabLab Palermo&rsquo;s area of activity carried out in the digital maker space at Leroy Merlin Palermo Mondello, big french brand in the GDS.</p>
<p><strong>FabLab team: skills and expertise</strong></p>
<p>Fablab Palermo has a <strong>main team working</strong> and linking with a <strong>network of makers and professionals, &ndash; present on Palermo, on Sicily</strong>, or otherwise in connection with Fablab &ndash; <strong>experts in various fields</strong>, from graphic design to robotics, from programming to marketing, ready to offer their multidisciplinary consultancy to meet your needs.</p>",Italy,Palermo,38.11127,13.3534422,,"Social enterprise, charity, foundation or other non-profit","51-100 people",2016-06-01,,"3dprint, arduino, coding, digital design, digital fabrication, education, fablab, Innovation, makers, sharing economy, social innovation","FabLab Network",1970-01-01
932,"Fablab Torino",,,,Italy,Torino,45.0677551,7.6824892,"Via Egeo 16,
10134","Academia/Research organisation","0-5 people",,,,"FabLab Network",1970-01-01
994,"FabLab VdA",,,,Italy,Aosta,45.7370885,7.3196649,"Via Garibaldi 7,
11100","Grassroots organisation or community network","6-10 people",,,,"FabLab Network",1970-01-01
581,Factor-X,,,,Belgium,"Braine l'alleud",50.6830572,4.3693429,"Avenue de la paix 3,
1420","For-profit business","11-25 people",,,,,1970-01-01
360,"Factory Youth Zone",,,,"United Kingdom",Harpurhey,53.5119068,-2.2084488,"913 Rochdale Road,
M9 8AE",,,,449,,,1970-01-01
1165,"Faculdade de Motricidade Humana - ULisboa",,,,Portugal,"Oeiras - Lisboa",38.7124971,-9.2713003,"Estrada da costa - Cruz QUebrada,
1499 -Cruz QUebrada","Academia/Research organisation","51-100 people",,593,,,1970-01-01
433,"Fair Play Alliance",,,,Slovakia,Bratislava,48.1359085,17.1597441,"Smrecianska 21,
81105","Grassroots organisation or community network","6-10 people",,"238, 292, 616",,,1970-01-01
467,Fairphone,,,,Netherlands,Amsterdam,52.3745403,4.8979755,"Piet Heinkade 181,
1019 HC","Social enterprise, charity, foundation or other non-profit","11-25 people",,686,,,1970-01-01
